conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.94241E+18,Tue Jul 08 11:39:47 +0000 2025,0,@halonpc Dewasa tp kitnya stunting,1.94255E+18,,halonpc,in,,0,0,0,https://x.com/undefined/status/1942549168175845400,1.58119E+18,
1.94255E+18,Tue Jul 08 11:23:28 +0000 2025,145,Bayangin 240 T buat biayain BPJS kesehatan kita ga perlu iuran dokter ga pusing mau order pemeriksaan dan tindakan apa sesuai kebutuhan obat ga bayar PKMK anak stunting bisa gratis. Rakyat senang-sehat lalu negara kuat. Sayang bukan itu yang dilakukan,1.94255E+18,,,in,,3,3,122,https://x.com/undefined/status/1942545062673707029,212953008,
1.94254E+18,Tue Jul 08 10:57:34 +0000 2025,0,Wakil Bupati Luwu Tegaskan Pentingnya Kolaborasi Cegah Stunting https://t.co/O6X5noQSjE,1.94254E+18,,,in,,0,0,0,https://x.com/undefined/status/1942538544544936395,1.73737E+18,
1.94254E+18,Tue Jul 08 10:52:55 +0000 2025,0,Pemprov Banten bareng BNI dan BKKBN gaspol tekan stunting! Program Genting digeber di Kota Tangerang bantu 200 anak selama 6 bulan. Target nasional selanjutnya: 80 juta sasaran! #Stunting #PemprovBanten #BNI #Genting #Pentahelix #BKKBN https://t.co/CmAjv9YUF1 https://t.co/H5fhy0r0EA,1.94254E+18,https://pbs.twimg.com/media/GvVHczVXMAIcXQF.jpg,,in,,0,0,0,https://x.com/undefined/status/1942537377182015973,2911375412,
1.94254E+18,Tue Jul 08 10:52:32 +0000 2025,0,Dari Desa Aur Cino Babinsa Koramil Pulau Temiang Kobarkan Semangat Lawan Stunting https://t.co/NqpHW33Twj https://t.co/iGfNmfo5uB,1.94254E+18,https://pbs.twimg.com/media/GvVHW91aYAUH0AS.jpg,,in,,0,0,0,https://x.com/undefined/status/1942537277890257138,1.60182E+18,
1.94245E+18,Tue Jul 08 10:49:06 +0000 2025,0,@lagipusingpo kamu ga liat itu dinonya stunting?,1.94254E+18,,lagipusingpo,in,,0,1,0,https://x.com/undefined/status/1942536414257877030,715771694,
1.94252E+18,Tue Jul 08 10:47:06 +0000 2025,0,@ARSIPAJA Terus tercapai kah fungsi awal MBG yg katanya mau menurunkan stunting? Ukuran suksesnya programnya apa sebenarnya? Kok cuma jumlah penerimanya doang yg dibesar-besarkan?,1.94254E+18,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1942535909712237015,1.30457E+18,
1.94252E+18,Tue Jul 08 10:36:49 +0000 2025,8,@ARSIPAJA Demi prog ambisius + populis tp minim manfaat brp pun biayany+apapun kritikannya tetap dipaksakn u/ jln. MBG mrupakan prog menipu diri sndri krn tdk efektif mengatasi stunting. Slain tdk mnyentuh akar mslh+trlalu bnyk crita d stiap daerah klo menu yg disiapkn tdk dkonsumsi siswa,1.94253E+18,,ARSIPAJA,in,,0,0,1,https://x.com/undefined/status/1942533324993617996,1.73521E+18,
1.94248E+18,Tue Jul 08 10:36:36 +0000 2025,0,@SVGITARlUS gajah stunting anjir,1.94253E+18,,SVGITARlUS,in,,0,0,0,https://x.com/undefined/status/1942533270543159423,7.41695E+17,
1.94252E+18,Tue Jul 08 10:36:00 +0000 2025,47,@ARSIPAJA ini nih kl gaada target pasti dari MBG standar ketercapaiannya jumlah atau apa? misal data stunting kita menurun di tahun depan atau ada perubahan tinggi badan generasi yg dapet MBG dalam 2-3 tahun kedepan,1.94253E+18,,ARSIPAJA,in,,0,0,1,https://x.com/undefined/status/1942533117832827214,1.0682E+18,
